SchoolId;SchoolName;SchoolAddress;SchoolZipCode;SchoolCity;SchoolRefNumber;SchoolPhone
338;Ecole primaire - J-J. Sevin;9 RUE DE CHATEAUNEUF;28170;TREMBLAY-LES-VILLAGES;;0237653219
339;Ecole élémentaire;4 RUE LUCIEN RIALET;28500;TREON;;0237826288
340;Ecole maternelle;2 RUE LUCIEN RIALET;28500;TREON;;0237826523
341;Ecole maternelle;RUE DE LA SALVA;28800;TRIZAY-LES-BONNEVAL;;0237472302
342;Ecole primaire;20 RUE DU PR. FELIX LEJARS;28160;UNVERRE;;0237972318
343;Ecole primaire;LE BOURG;28240;VAUPILLON;;0237813443
344;Ecole primaire;15 RUE DE LA BARRIERE;28630;VER-LES-CHARTRES;;0237264331
345;Ecole élémentaire - Gérard Philipe;RUE JEAN VILAR;28500;VERNOUILLET;;0237628340
346;Ecole maternelle - Gérard Philipe;CRX GIBOREAU CHE DES CHARMILLE;28500;VERNOUILLET;;0237628342
347;Ecole primaire - Jules Vallès;RUE GERARD PHILIPE;28500;VERNOUILLET;;0237628343
348;Ecole élémentaire - Louis Aragon;16 RUE CLAUDE DEBUSSY;28500;VERNOUILLET;;0237628333
349;Ecole maternelle - Louis Aragon;2 AVENUE HECTOR BERLIOZ;28500;VERNOUILLET;;0237628334
350;Ecole élémentaire - Louis Pergaud;1 RUE DE L’EPINAY;28500;VERNOUILLET;;0237628338
351;Ecole maternelle - Louis Pergaud;3 RUE DE L’EPINAY LES CORVEES;28500;VERNOUILLET;;0237628339
352;Ecole maternelle - Victor Hugo;9 RUE LEON BLUM;28500;VERNOUILLET;;0237628337
353;Ecole élémentaire - Victor Hugo - Brassens;3 BIS RUE LEON BLUM;28500;VERNOUILLET;;0237628336
354;Ecole primaire;6 PLACE DU GENERAL DE GAULLE;28500;VERT-EN-DROUAIS;;0237829010
355;Ecole élémentaire;VICHERES;28480;VICHERES;;0237294582
356;Ecole élémentaire;2 RUE SAINT MARTIN;28120;VIEUVICQ;;0237960472
357;Ecole primaire;4 RUE LE BOURG;28200;VILLAMPUY;;0237987758
358;Ecole primaire - Hélène Boucher;11 AVENUE CH DE GAULLE;28210;VILLEMEUX-SUR-EURE;;0237824179
359;Ecole primaire;9 RUE DE LA MAIRIE;28130;VILLIERS-LE-MORHIER;;0237827215
360;Ecole maternelle - Charles Perrault;18 BOULEVARD MAURICE VIOLLETTE;28150;VOVES;;0237990312
361;Ecole élémentaire - Jean Moulin;5 RUE FRANCOIS HUET;28150;VOVES;;0237991902
362;Ecole élémentaire - Hélène Boucher;5 RUE DE LA GUILLOTINE;28130;YERMENONVILLE;;0237323843
363;Ecole primaire;30 RUE EMILE DELAVALLEE;28160;YEVRES;;0237960029
364;Ecole élémentaire;11 RUE DE LA MAIRIE;28320;YMERAY;;0237310894
365;Ecole primaire;3 RUE DES ECOLES;28150;YMONVILLE;;0237322015
